fuel_consumption
L/100Km
10	L/100Km
7	L/100Km
9	L/100Km
6	L/100Km
8	L/100Km
5	L/100Km
16	L/100Km
15	L/100Km
4	L/100Km
12	L/100Km
11	L/100Km
2	L/100Km
20	L/100Km
13	L/100Km
0	L/100Km
65	L/100Km
66	L/100Km
05	L/100Km
07	L/100Km
08	L/100Km
17	L/100Km
42	L/100Km
14	L/100Km
 7	L/100Km
7l	L/100Km
3	L/100Km
06	L/100Km
09	L/100Km
1	L/100Km
18	L/100Km
9.	L/100Km
565	L/100Km
68	L/100Km
7.5	L/100Km
100	L/100Km
7L	L/100Km
7.7	L/100Km
55	L/100Km
8L	L/100Km
 8	L/100Km
40	L/100Km
6l	L/100Km
592	L/100Km
00	L/100Km
8.5	L/100Km
7.	L/100Km
K0	L/100Km
83	L/100Km
85	L/100Km
6500	L/100Km
75	L/100Km
5.5	L/100Km
98	L/100Km
8.7	L/100Km
5.8	L/100Km
89	L/100Km
225	L/100Km
5.7	L/100Km
5l	L/100Km
"5,	L/100Km"
7.8	L/100Km
6.8	L/100Km
6.	L/100Km
4288	L/100Km
6.5	L/100Km
111	L/100Km
58	L/100Km
8l	L/100Km
45	L/100Km
"6,	L/100Km"
