seating_capacity
2-seat
7-seat
8-seat
5-seat
3-seat
6-seat
16-seat
20-seat
47-seat
4-seat
10-seat
29-seat
11-seat
9-seat
17-seat
12-seat
30-seat
15-seat
44-seat
0-seat
